codigo,latitude,longitude,updated_at
CA-ARU-0207-A3,-28.9504114716369,-49.5231021771715,2026-08-29T20:00:00Z
CA-ARU-0057-A3,-28.929248,-49.478942,2026-08-29T20:00:00Z
CA-ARU-0054-A4,-28.935475,-49.481036,2026-08-29T20:00:00Z
CA-ARU-0298-A2,-28.937592,-49.452596,2026-08-29T20:00:00Z
CA-ARU-0271-A3,-28.952733,-49.487016,2026-08-29T20:00:00Z
CA-COCL-0043-A7,-28.59394,-49.330229,2026-08-29T20:00:00Z
CA-CUA-0320-A2,-28.636103,-49.340163,2026-08-29T20:00:00Z
CA-CUA-0311-A7,-28.650487,-49.349691,2026-08-29T20:00:00Z
CA-COCL-0043-B3,-28.650487,-49.349691,2026-08-29T20:00:00Z
CA-COCL-0009-A3,-28.650487,-49.349691,2026-08-29T20:00:00Z
CA-COCL-0009-A4,-28.590687,-49.330875,2026-08-29T20:00:00Z
CA-COCL-0001-B7,-28.626346,-49.337784,2026-08-29T20:00:00Z
CA-COCL-0090-A9,-28.588273,-49.355422,2026-08-29T20:00:00Z
CA-COCL-0094-A5,-28.570441,-49.349107,2026-08-29T20:00:00Z
CA-COCL-0094-A9,-28.56869,-49.358326,2026-08-29T20:00:00Z
CA-COLC-0098-A6,-28.6075,-49.326009,2026-08-29T20:00:00Z
CA-COCL-0156,-28.595649,-49.31969,2026-08-29T20:00:00Z
CA-COCL-0442,-28.602454,-49.335205,2026-08-29T20:00:00Z
CA-COCL-0267,-28.587871,-49.319646,2026-08-29T20:00:00Z
CA-CUA-0293-B1,-28.665274,-49.378291,2026-08-29T20:00:00Z
CA-CUA-0324-A11,-28.680652,-49.38017,2026-08-29T20:00:00Z
CA-CUA-0324-A9,-28.679922,-49.381553,2026-08-29T20:00:00Z
CA-CUA-0324-A1,-28.672883,-49.386334,2026-08-29T20:00:00Z
CA-CUA-0324-A11,-28.680652,-49.38017,2026-08-29T20:00:00Z
CA-CUA-0403-A1,-28.687034,-49.405212,2026-08-29T20:00:00Z
CA-CUA-0337-A6,-28.664547,-49.399653,2026-08-29T20:00:00Z
CA-CUA-0338-A3,-28.666719,-49.402525,2026-08-29T20:00:00Z
CA-CUA-1210-A2,-28.66747593,-49.43394381,2026-08-29T20:00:00Z
CA-CUA-1199-A2,-28.64896,-49.441124,2026-08-29T20:00:00Z
CA-CUA-1530-A6,-28.692031,-49.411043,2026-08-29T20:00:00Z
CA-CUA-1530-A1,-28.691319,-49.410331,2026-08-29T20:00:00Z
CA-CUA-0392-A4,-28.691609,-49.419343,2026-08-29T20:00:00Z
CA-CUA-0347-A4,-28.669076,-49.426259,2026-08-29T20:00:00Z
CA-CUA-0347-A4,-28.669076,-49.426259,2026-08-29T20:00:00Z
CA-CUA-0345-A6,-28.678962,-49.417954,2026-08-29T20:00:00Z
CA-CUA-0367-A6,-28.661361,-49.414858,2026-08-29T20:00:00Z
CA-CUA-0394-A8,-28.687381,-49.417902,2026-08-29T20:00:00Z
CA-CUA-0371-A3,-28.652306,-49.425807,2026-08-29T20:00:00Z
CA-CUA-0371-A1,-28.652978,-49.423285,2026-08-29T20:00:00Z
CA-CUA-0361-A5,-28.657123,-49.424027,2026-08-29T20:00:00Z
CA-CUA-0228-A4,-28.699555,-49.389194,2026-08-29T20:00:00Z
CA-CUA-1361-A3,-28.705385,-49.378399,2026-08-29T20:00:00Z
